City,Average Compensation (USD),Min Compensation (USD),Max Compensation (USD)
DAYTON OH,"147,000.00","147,000.00","147,000.00"
DAYTON OHIO AREA,"74,500.00","74,500.00","74,500.00"
"DAYTON, OH","54,450.00","46,500.00","62,400.00"
"DAYTON, OHIO","94,000.00","94,000.00","94,000.00"
DC,"107,666.67","75,000.00","127,000.00"
DC METRO,"82,000.00","82,000.00","82,000.00"
DEBRECEN,"20,000.00","20,000.00","20,000.00"
"DECATUR, IL","75,000.00","75,000.00","75,000.00"
DEKALB,"65,000.00","65,000.00","65,000.00"
DEN HAAG,"49,000.00","42,000.00","56,000.00"
DENVER,"106,601.84","10,130.00","268,000.00"
"DENVER, CO","100,575.00","70,000.00","126,000.00"
DES MOINES,"77,670.00","43,680.00","114,000.00"
"DES MOINES, IA","115,000.00","115,000.00","115,000.00"
DETROIT,"77,091.07","32,000.00","122,000.00"
DETROIT METRO,"153,666.67","46,000.00","363,000.00"
DETROIT MI / HARTFORD CT,"95,000.00","95,000.00","95,000.00"
"DETROIT, MI","68,000.00","68,000.00","68,000.00"
DFW,"81,200.00","60,000.00","117,000.00"
"DFW AREA, TX","80,000.00","80,000.00","80,000.00"
DFW TEXAS,"39,500.00","39,500.00","39,500.00"
DOHA,"28,000.00","28,000.00","28,000.00"
DOKKUM,"40,000.00","40,000.00","40,000.00"
DOMINGUEZ HILLS,"32,500.00","32,500.00","32,500.00"
DORAL,"39,000.00","39,000.00","39,000.00"
DOVER,"52,427.00","52,427.00","52,427.00"
DRAPER,"110,000.00","110,000.00","110,000.00"
DRESDEN,"60,000.00","54,000.00","66,000.00"
DUBLIN,"86,082.18","32,800.00","164,000.00"
"DUBLIN, OH","52,000.00","52,000.00","52,000.00"
DULUTH,"90,500.00","59,000.00","122,000.00"
"DULUTH, MN","73,500.00","73,500.00","73,500.00"
